Row ID,Column,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
156,cleaned_lyrics,297,-10.39,24.46,-28.29,-27.33,32.33,0,34.25,100,67.12,100,66.31,78.3,4.89,0,100,74.89,25.53,0,0
157,cleaned_lyrics,264,-28.35,-16.83,-10.05,-58.18,0,100,0,100,25.72,50,0,100,0,72.28,96.89,0,32.3,64.6,100
158,cleaned_lyrics,309,37.99,81.62,87,-54.66,100,20,40,0,62.3,0,75,100,91.67,53.83,100,25,50,0,77.46
159,cleaned_lyrics,377,14.34,71.39,8.73,-37.09,100,100,0,33.78,0,0,0,26.75,26.75,100,78.95,98.68,40,0,100
160,cleaned_lyrics,330,26.02,88.57,23.7,-34.2,100,71.43,57.14,0,28.57,40,100,60,20,0,100,0,50,0,0
161,cleaned_lyrics,348,2.01,22.15,-5.7,-10.43,49.45,100,100,51.28,0,45.9,91.8,0,37.92,100,100,33.01,100,0,0
162,cleaned_lyrics,221,,,,
163,cleaned_lyrics,413,28.19,9.67,61.97,12.95,24.19,72.57,0,75.52,100,0,65.43,87.23,55.85,100,33.06,83.27,100,0,67.76
164,cleaned_lyrics,309,66.01,88.39,30.16,79.48,100,33.33,0,0,70.49,64.12,100,100,82.06,0,0,42.86,100,100,88.06
165,cleaned_lyrics,453,33.21,73.17,26.51,-0.05,100,100,0,34.81,17.96,0,11.11,100,20.06,65,50,100,0,50.56,50.56
166,cleaned_lyrics,373,10.97,24.44,-5.64,14.1,41.73,0,0,100,1.32,50,100,0,16.89,16.89,66.52,100,100,0,33.94
167,cleaned_lyrics,356,13.56,21.52,-0.84,20,56.35,100,14.29,100,0,18.06,30,46.67,0,100,49.31,0,100,50,0
168,cleaned_lyrics,690,-12.86,23.89,-25.68,-36.79,33.33,0,16.67,100,50,100,83.33,83.33,0,58.33,100,50,25,0,0
169,cleaned_lyrics,297,20.95,86.12,4.25,-27.52,100,65.7,69.77,34.88,0,50.38,65.51,0,100,30.77,58.67,58.67,80,0,100
170,cleaned_lyrics,379,20.75,57.37,14.03,-9.15,100,18.48,59.24,100,0,16.67,16.67,0,100,75.11,71.43,100,71.43,0,57.9
171,cleaned_lyrics,379,28.86,44.35,68.07,-25.83,65.91,65.91,100,65.91,0,0,38.46,44.87,70.51,100,98.25,98.25,0,98.25,100
172,cleaned_lyrics,414,-0.43,-18.89,9.42,8.17,0,29.5,39.33,39.33,100,76.21,100,92.07,44.49,0,100,100,100,0,0
173,cleaned_lyrics,552,29.4,87.67,62.68,-62.15,100,14.6,34.47,0,17.24,0,41.64,43.97,64.98,100,98.57,0,40.32,20.43,100
174,cleaned_lyrics,238,,,,
175,cleaned_lyrics,391,16.44,13.58,-1.34,37.09,10.44,12.5,0,37.5,100,8.3,22.22,0,27.78,100,49.21,50,100,25,0
176,cleaned_lyrics,456,41.37,38.28,10.16,75.69,60.87,0,100,25,12.5,63.77,75,41.67,100,0,0,75,100,50,50
177,cleaned_lyrics,383,-26.73,-31.13,1.94,-51.01,0,100,66.67,70.61,3.07,59.14,45.52,100,20.7,0,49.1,39.28,0,60.21,100
178,cleaned_lyrics,409,-18.41,-26.93,-42.9,14.6,0,33.33,100,50,85.6,100,7.95,38.64,23.3,0,33.33,100,0,0,0.41
179,cleaned_lyrics,316,18.81,74.85,45.72,-64.15,100,12.77,38.32,0,89.42,0,8.31,100,63.32,8.31,81.51,0,33.33,33.33,100
180,cleaned_lyrics,468,22.65,31.3,-0.65,37.29,53.68,26.69,8.7,100,0,30.17,54.9,54.9,0,100,48.94,98.4,24.2,100,0
181,cleaned_lyrics,436,18.69,69.1,-21.86,8.83,75.88,100,33.33,11.11,0,85.8,0,100,10,30,98.86,100,100,0,0
182,cleaned_lyrics,339,,-14.6,1.64,,0,21.75,21.75,43.51,100,63.43,100,63.43,12.23,0,50,50,50,50,50
183,cleaned_lyrics,48,,,,
184,cleaned_lyrics,504,-7.54,13.77,-26.73,-9.66,36.95,100,87.39,11.73,0,88.35,0,48.19,96.39,100,100,33.33,0,100,1
185,cleaned_lyrics,368,-3.2,24.02,-28.66,-4.96,55.6,83.78,13.32,100,0,100,28.61,82.15,18.09,0,100,100,100,0,33.94
186,cleaned_lyrics,281,-34.12,-29.2,-49.25,-23.92,0,26.29,100,50.86,26.29,100,8.78,35.13,0,17.57,73.68,75,0,100,100
187,cleaned_lyrics,352,25.72,89.24,-53.14,41.05,100,0,1.9,1.9,35.71,100,32.91,22.68,0,0,65.49,49.06,83.33,100,0
188,cleaned_lyrics,342,52.72,91.06,35.01,32.08,100,87.43,38.26,0,0,0,0,100,44.5,44.5,0,100,2.94,2.94,2.94
189,cleaned_lyrics,624,9.95,42.65,4.08,-16.87,59.01,100,18.02,38.51,0,84.23,84.23,60.58,100,0,50,33.33,100,0,84.41
190,cleaned_lyrics,381,-1.29,-17.55,-9.48,23.15,0,23.22,67.09,34.19,100,100,61.93,89.45,75.69,0,38.96,100,80,0,40
191,cleaned_lyrics,506,-4.28,32.9,-19.86,-25.86,41.32,0,28.57,100,57.14,100,71.83,15.96,79.81,0,78.43,0,100,0,60
192,cleaned_lyrics,184,,,,
193,cleaned_lyrics,512,21.81,86.46,-38.41,17.37,100,49.92,0,50.57,50.57,100,0,15.03,82.35,82.35,0,98.55,17.07,66.83,100
194,cleaned_lyrics,484,-35.32,-40.89,-55.31,-9.78,0,19.35,58.06,96.77,100,100,16.67,16.67,0,41.84,71.43,0,28.57,100,29.32
195,cleaned_lyrics,457,31.2,43.46,74.38,-24.23,54.62,0,55.82,100,66.87,0,46.19,84.43,68.87,100,100,74.86,0,25.41,0
196,cleaned_lyrics,565,-12.56,-21.32,-16.63,0.29,0,100,44.44,22.22,44.44,76.92,0,30.77,100,23.08,80,40,0,100,0
197,cleaned_lyrics,367,-26.24,13.76,-38,-54.49,39.5,100,61.33,61.33,0,100,20.65,40.22,40.22,0,39.04,0,40.64,20.86,100
198,cleaned_lyrics,307,-8.37,55.26,-28.44,-51.92,94.35,45.16,100,0,100,100,54.81,30.62,61.23,0,100,16.44,33.97,0,33.97
199,cleaned_lyrics,416,34.85,65.23,28.86,10.46,100,0,63.64,76.36,25.45,0,74.13,41.8,22.4,100,98.51,100,50,50,0
200,cleaned_lyrics,331,-35.05,-49.12,-5.63,-50.38,0,83.5,100,100,100,38.64,11.11,0,100,88.89,100,0,43.51,29,58.01
201,cleaned_lyrics,206,,,,
202,cleaned_lyrics,514,6.68,73.58,-26.5,-27.05,100,0,50,75,78.92,100,90.91,72.73,0,11.76,39.31,58.96,58.96,0,100
203,cleaned_lyrics,285,-8.46,6.63,-26.5,-5.52,33.33,0,100,100,0,100,100,0,62.5,100,100,0,100,50,0
204,cleaned_lyrics,184,,,,
205,cleaned_lyrics,341,55,84.65,48.51,31.85,100,86.25,0,0,34.5,0,50.85,26.27,93.86,100,0,25.54,100,0.72,25.54
206,cleaned_lyrics,360,1.5,5.81,-16.46,15.16,25,25,25,100,0,66.67,0,11.11,100,33.33,37.5,100,50,0,37.5
